price,currencyId,categoryId,market_category,picture,name,availability,size,material,description,octo_title,kodinprice
200,RUB,290,"Подушки оптом",http://www.textilgroup.ru//upload/iblock/277/277bee81fcf86894df402119cd639e60.jpg,pd062,0,"Наволочки декор","Не указано","Код 033Размер: 45х45Материал: шёлк (искусственный)",,033
200,RUB,290,"Подушки оптом",http://www.textilgroup.ru//upload/iblock/572/572a5f6b07c73ebcbe9051eaf75add4e.jpg,pd063,0,"Наволочки декор","Не указано","Код 033Размер: 45х45Материал: шёлк (искусственный)",,033
200,RUB,290,"Подушки оптом",http://www.textilgroup.ru//upload/iblock/6c6/6c62dbffab939dfe1dbf3dde403bf39c.jpg,pd064,0,"Наволочки декор","Не указано","Код 033Размер: 45х45Материал: шёлк (искусственный)",,033
3500,RUB,275,"Постельное белье оптом",http://www.textilgroup.ru//upload/iblock/2ab/2ab767ac62150af4877a7ea368871001.jpg,cs396-34,0,"Евро 4 наволочки",Сатин,"код 110Пододеяльник (X1) / 200X220Простыня (X1) / 220X245Наволочка (X2) / 70X70 Наволочка (X2) / 50X70",,110
3500,RUB,312,Архив,http://www.textilgroup.ru//upload/iblock/5c6/5c69e1e8b3e3ce40b549b0c12e3f6396.jpg,cs049-34,0,"Евро 4 наволочки",Сатин,"код 110Пододеяльник (X1) / 200X220Простыня (X1) / 220X245Наволочка (X2) / 70X70 Наволочка (X2) / 50X70",,110
2800,RUB,312,Архив,http://www.textilgroup.ru//upload/iblock/060/0605cc0830046665c330793aece86441.jpg,cs040-2,0,"2.0 сп",Сатин,"код 019Пододеяльник (X1) / 180X210Простыня (X1) / 220X245Наволочка (X2) / 50X70",,019
2800,RUB,312,Архив,http://www.textilgroup.ru//upload/iblock/b6c/b6c675a382aeeb94c305271830174310.jpg,cs161-2,0,"2.0 сп",Сатин,"код 019Пододеяльник (X1) / 180X210Простыня (X1) / 220X245Наволочка (X2) / 50X70",,019
2800,RUB,312,Архив,http://www.textilgroup.ru//upload/iblock/c83/c83361832f1d6b2d2b64bebd6e29f484.jpg,cs162-2,0,"2.0 сп",Сатин,"код 019Пододеяльник (X1) / 180X210Простыня (X1) / 220X245Наволочка (X2) / 70X70",,019
2800,RUB,312,Архив,http://www.textilgroup.ru//upload/iblock/6c0/6c0d59b55658e4fe191b2ecd05334929.jpg,cs218-2-50,0,"2.0 сп",Сатин,"код 019Пододеяльник (X1) / 180X210Простыня (X1) / 220X245Наволочка (X2) / 50X70",,019
2800,RUB,312,Архив,http://www.textilgroup.ru//upload/iblock/2e3/2e3d7684ff44682116bd7a04b31f2213.jpg,cs238-2-50,0,"2.0 сп",Сатин,"код 019Пододеяльник (X1) / 180X210Простыня (X1) / 220X245Наволочка (X2) / 50X70",,019
2800,RUB,312,Архив,http://www.textilgroup.ru//upload/iblock/313/3133c2ee24ee9e7c771587f4c2f0efc2.jpg,cs239-2-50,0,"2.0 сп",Сатин,"код 019Пододеяльник (X1) / 180X210Простыня (X1) / 220X245Наволочка (X2) / 50X70",,019
